"Rank","Mark","WIND","Competitor","DOB","Nat","Pos","Venue","Date","Results.Score","year"
"3324","10.34","+1.8","Oliver BRADWELL","21 AUG 1992","USA","1","Albuquerque, NM (USA)","05 JUN 2010","1092","2010"
"3324","10.34","+1.7","Sebastian ERNST","11 OCT 1984","GER","2h2","Mannheim (GER)","03 JUL 2010","1092","2010"
"3269","10.1h","","Chavez AGEDAY","14 AUG 1993","GUY","1","Georgetown (GUY)","06 FEB 2011","1092","2011"
"3269","10.1h","","Wellington NYAKUNDI","1978","KEN","2","Narok (KEN)","02 APR 2011","1092","2011"
"3269","10.1h","","Ali LIAQAT","06 AUG 1983","PAK","1","Lahore (PAK)","19 APR 2011","1092","2011"
"3327","10.34","+1.9","Dallas BURROUGHS","","USA","1","Boise, ID (USA)","20 MAY 2011","1092","2011"
"3327","10.34","+0.1","Daniel AUBERRY","13 SEP 1989","USA","2f3","Tempe, AZ (USA)","24 MAR 2012","1092","2012"
"3327","10.34","+1.9","Eugene AYANFUL","14 MAY 1990","GBR","3f1","Azusa, CA (USA)","20 APR 2012","1092","2012"
"3327","10.34","","Alfred HIGGS","31 DEC 1991","BAH","1","Council Bluffs, IA (USA)","26 APR 2012","1092","2012"
"3327","10.34","+1.9","Tommy CURRY","","USA","1f1","Amarillo, TX (USA)","28 APR 2012","1092","2012"
"3327","10.34","+1.9","Chris HARGETT","","USA","2f2","Clermont, FL (USA)","19 MAY 2012","1092","2012"
"3327","10.34","+0.2","Vladimír ŠIMÍK","04 MAR 1990","SVK","1","Trnava (SVK)","18 AUG 2012","1092","2012"
"3276","10.1h","","Wade JOOSTE","24 JUL 1991","RSA","1","Germiston (RSA)","09 MAR 2013","1092","2013"
"3328","10.34","+1.9","Jeremy HARDY","10 AUG 1989","USA","1f2","Athens, GA (USA)","13 APR 2013","1092","2013"
"3328","10.34","-0.4","Jermaine JONES","24 MAY 1991","USA","3","Pueblo, CO (USA)","25 MAY 2013","1094","2013"
"3328","10.34","+1.1","Miguel LOPEZ","20 AUG 1994","USA","6","New York, NY (USA)","30 MAY 2013","1092","2013"
"3328","10.34","+1.5","Kiril KIRILOV","02 JUL 1983","BUL","2","Pravets (BUL)","15 JUN 2013","1092","2013"
"3328","10.34","+0.1","Jermaine CHIRINOS","14 MAY 1985","VEN","1h3","Barinas (VEN)","11 OCT 2013","1092","2013"
"3328","10.34","+1.7","Adrián BURRIEL","18 NOV 1992","ESP","3","Aubagne (FRA)","14 JUN 2014","1092","2014"
"3282","10.1h","+1.8","Ademola AKOMOLAFE","05 APR 1993","NGR","4","Kaduna (NGR)","31 OCT 2014","1092","2014"
"3329","10.34","+1.8","Benjamin JAWORSKI","14 OCT 1993","AUS","1sf2","Brisbane (AUS)","28 MAR 2015","1092","2015"
"3329","10.34","+0.8","John LEWIS","","USA","1","Austin, TX (USA)","15 MAY 2015","1092","2015"
"3329","10.34","+1.6","Darnell CUMMINGS","09 DEC 1991","USA","2","Storrs, CT (USA)","16 MAY 2015","1092","2015"
"3329","10.34","-1.8","Allan BURTON","25 FEB 1992","JAM","1f2","Ponce (PUR)","23 MAY 2015","1102","2015"
"3329","10.34","+1.8","Tim PRICE","","USA","2","San Marcos, TX (USA)","05 JUN 2015","1092","2015"
"3329","10.34","+1.0","Soushi WATANABE","07 JAN 1995","JPN","4","Hiratsuka (JPN)","25 JUL 2015","1092","2015"
"3329","10.34","+1.2","Takahiro HIRAOKA","24 JUL 1997","JPN","1","Yokohama (JPN)","14 AUG 2015","1092","2015"
"3329","10.34","+1.7","Holland CABARA","04 FEB 1995","TTO","1h1","Palo Alto, CA (USA)","01 APR 2016","1092","2016"
"3329","10.34","+0.7","Bentrell MCGEE","15 JUL 1993","USA","1f1","Starkville, MS (USA)","30 APR 2016","1092","2016"
"3291","10.1h","+1.6","Alexandre DIVET","25 AUG 1993","FRA","1f1","Cognac (FRA)","01 MAY 2016","1092","2016"
"3330","10.34","+1.8","Kevin SNEAD","","USA","1h4","Greensboro, NC (USA)","15 MAY 2016","1092","2016"
"3330","10.34","+1.8","Keene Charles MOTUKISI","01 JAN 1991","BOT","1","Francistown (BOT)","11 MAR 2017","1092","2017"
"3293","10.1h","-2.1","Yoan MEDINA","02 JAN 1999","CUB","3h1","La Habana (CUB)","14 MAR 2017","1104","2017"
"3331","10.34","+1.5","Edward CLARKE","09 SEP 1995","JAM","1f2","Tallahassee, FL (USA)","24 MAR 2017","1092","2017"
"3331","10.34","+0.1","Javelin GUIDRY","06 AUG 1998","USA","1","Arcadia, CA (USA)","08 APR 2017","1092","2017"
"3331","10.34","+0.1","Lorenzo LARRY","","USA","1f1","Tucson, AZ (USA)","08 APR 2017","1092","2017"
"3331","10.34","+2.0","Micheal MCGRUDER","28 FEB 1995","USA","4","Arlington, TX (USA)","13 MAY 2017","1092","2017"
"3331","10.34","+1.4","Lawrence CRAWFORD","15 MAY 1997","USA","5h5","Lexington, KY (USA)","25 MAY 2017","1092","2017"
"3331","10.34","+1.3","Wayne SHERBAHN","19 JUN 1994","USA","1h2","Gulf Shores, AL (USA)","26 MAY 2017","1092","2017"
"3331","10.34","-0.8","Sonko MOULAYE","01 MAR 1988","SEN","2","Bamako (MLI)","03 JUN 2017","1096","2017"
"3331","10.34","+1.9","Hiroshi DOTE","06 JUN 1987","JPN","7","Fuse (JPN)","04 JUN 2017","1092","2017"
"3331","10.34","+1.3","Junpeng ZHANG","20 APR 1991","CHN","2h4","Guiyang (CHN)","25 JUN 2017","1092","2017"
"3331","10.34","+1.5","Austin HAMILTON","29 JUL 1997","SWE","2sf3","Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)","13 JUL 2017","1092","2017"
"3331","10.34","+1.1","Qawatvis JOHNSON","","USA","2f5","Raymond, MS (USA)","30 MAR 2018","1092","2018"
"3331","10.34","+1.5","Correion MOSBY","31 JAN 1996","USA","1f1","Coral Gables, FL (USA)","14 APR 2018","1092","2018"
"3331","10.34","+1.5","Renard HOWELL","03 MAR 1995","JAM","2f1","Coral Gables, FL (USA)","14 APR 2018","1092","2018"
"3331","10.34","+0.2","Wei-Hsu WANG","12 OCT 1996","TPE","1sf1","Taoyuan (TPE)","29 APR 2018","1092","2018"
"3331","10.34","-0.2","Josh PARSONS","","USA","1f1","Knoxville, TN (USA)","05 MAY 2018","1093","2018"
"3331","10.34","+1.5","DeTorrian GREEN","","USA","2h3","Prairie View, TX (USA)","05 MAY 2018","1092","2018"
"3331","10.34","+1.2","Elijah ROSS","","USA","8sf2","Eugene, OR (USA)","06 JUN 2018","1092","2018"
"3331","10.34","+2.0","Dániel SZABÓ","24 MAY 1997","HUN","1","Miskolc (HUN)","09 JUN 2018","1092","2018"
"3331","10.34","+1.2","Kaie CHAMBERS-BROWN","26 SEP 1999","GBR","1sf2","Bedford (GBR)","16 JUN 2018","1092","2018"
"3331","10.34","-0.9","Yiğitcan HEKIMOĞLU","27 APR 1992","TUR","3f3","Erzurum (TUR)","14 JUL 2018","1097","2018"
"3331","10.34","+1.7","Shaahid MOTALA","19 SEP 1997","RSA","1f3","Pretoria (RSA)","09 FEB 2019","1092","2019"
"3331","10.34","+2.0","Jabriel SMITH","","USA","2","Riverside, CA (USA)","11 MAY 2019","1092","2019"
"3331","10.34","+1.7","Andre MARCANO","27 MAR 1986","TTO","1","Hightstown, NJ (USA)","23 JUN 2019","1092","2019"
"3331","10.34","+1.0","Hakeem HUGGINS","21 JAN 1997","SKN","1f1","Basseterre (SKN)","23 JUN 2019","1092","2019"
"3331","10.34","+1.8","Mehdi TAKORDMIOUI","03 AUG 1995","MAR","1","Sale (MAR)","28 JUL 2019","1092","2019"
"3331","10.34","+1.0","Shunya TAKAYAMA","03 SEP 1994","JPN","1f2","Honjo Athletic Stadium, Kitakyushu (JPN)","27 OCT 2019","1092","2019"
"3331","10.34","-0.1","Ruttanapon SOWAN","10 JAN 1994","THA","1h1","New Clark City (PHI)","08 DEC 2019","1092","2019"
"3331","10.34","+0.5","Matthew RIZZO","10 OCT 1998","AUS","3","AIS Athletics Track, Canberra (AUS)","25 JAN 2020","1092","2020"
"3331","10.34","+1.3","Viljami KAASALAINEN","15 OCT 1995","FIN","4","Paavo Nurmen Stadion, Turku (FIN)","11 AUG 2020","1092","2020"
"3331","10.34","+0.9","Naruhito KUWATA","17 JUN 1999","JPN","5h3","Prefectural Stadium, Fukui (JPN)","29 AUG 2020","1092","2020"
"3331","10.34","+1.7","Arielton DOS SANTOS","19 FEB 2000","BRA","1","CNDA, Bragança Paulista (BRA)","09 APR 2021","1092","2021"
"3331","10.34","-2.3","Javaris MICHAEL","","USA","1","Moretz Sports Complex, Hickory, NC (USA)","25 APR 2021","1105","2021"
"3331","10.34","0.0","Christian HAMBERLIN","","USA","5h3","Cushing Stadium, College Station, TX (USA)","29 MAY 2021","1092","2021"
"3326","10.1h","+1.2","Dmitriy KHOMUTOV","04 JAN 1992","RUS","2h1","Stadium Desna, Bryansk (RUS)","10 JUN 2021","1092","2021"
"3332","10.34","+1.4","Aleksey LAPTEV","13 MAY 1998","RUS","2sf2","Olympic Stadium, Cheboksary (RUS)","24 JUN 2021","1092","2021"
"3332","10.34","+1.5","Pablo MONTALVO","20 OCT 1999","ESP","1h3","Polideportivo Juan de la Cierva, Getafe (ESP)","26 JUN 2021","1092","2021"
"3332","10.34","+1.1","Dennis OTIENO","27 MAR 1991","KEN","1","Halmstad Arena IP, Halmstad (SWE)","29 JUN 2021","1092","2021"
"3332","10.34","+0.1","Shimpei FUKAGAWA","26 JAN 2002","JPN","4","Yanmar Stadium Nagai, Osaka (JPN)","17 JUL 2021","1092","2021"
"3332","10.34","+1.3","Rafał PAJĄK","03 FEB 1999","POL","1","Stadion Lekkoatletyczny, Suwalki (POL)","24 JUL 2021","1092","2021"
"3332","10.34","+0.2","Ashley MOLONEY","13 MAR 2000","AUS","2ce3","National Stadium, Tokyo (JPN)","04 AUG 2021","1092","2021"
"3332","10.34","+0.4","Harjit SINGH","28 AUG 1997","IND","2","Stadium Hanamkonda, Warangal (IND)","16 SEP 2021","1092","2021"
"3332","10.34","+1.7","Victor SMITH","06 NOV 2000","USA","2h6","John Jacobs Track Complex, Norman, OK (USA)","15 APR 2022","1092","2022"
"3332","10.34","+1.0","Kiland HARRISON","","USA","1f1","Parkman Track, Clinton, MS (USA)","28 APR 2022","1092","2022"
"3332","10.34","+1.3","Kennedy HARRISON","","USA","1f9","University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)","30 APR 2022","1092","2022"
"3332","10.34","+0.1","Lewis CHAUNZAVIA","","USA","2f1","Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)","30 APR 2022","1092","2022"
"3332","10.34","+0.9","Ashton ALLEN","25 MAR 2002","USA","3","USC Cromwell Field at Loker Track Stadium, Los Angeles, CA (USA)","01 MAY 2022","1092","2022"
"3332","10.34","+0.7","Delan EDWIN","22 JUL 1996","LCA","2h2","GVSU Track/Lacrosse Stadium, Allendale, MI (USA)","26 MAY 2022","1092","2022"
"3332","10.34","+0.5","Patryk WYKROTA","13 NOV 2000","POL","3","Stadion Lekkoatletyczny, Suwalki (POL)","10 JUN 2022","1092","2022"
"3332","10.34","+1.9","Krishawn AIKEN","24 MAY 1995","GBR","3h8","Manchester Regional Arena, Manchester (GBR)","24 JUN 2022","1092","2022"
"3332","10.34","+0.4","Dominik ILLOVSZKY","04 JAN 2002","HUN","2","Egyetemváros Atlétikai Centrum, Miskolc (HUN)","09 JUL 2022","1092","2022"
"3332","10.34","+0.7","Maksim HRABARENKA","28 MAR 1998","BLR","1","Regional Sport Complex, Brest (BLR)","13 JUL 2022","1092","2022"
"3332","10.34","+0.8","Tomás MONDINO","27 MAY 2005","ARG","3h8","Pascual Guerrero Stadium, Cali (COL)","01 AUG 2022","1092","2022"
"3332","10.34","+2.0","Ryosuke OGURA","30 DEC 1996","JPN","1f4","Athletic Park Stadium, Sano (JPN)","11 AUG 2022","1092","2022"
"3332","10.34","+1.8","Siva KUMAR","13 OCT 1994","IND","2","Raebareli (IND)","29 AUG 2022","1092","2022"
"3332","10.34","+1.4","Hiroki KOJIMA","15 JAN 1996","JPN","2","Prefectural Shizuoka Stadium, Fukuroi (JPN)","03 NOV 2022","1092","2022"
"3332","10.34","+1.4","Sikiru Adewale ADEYEMI","02 JUL 1998","NGR","2","Ahmadu Bello Stadium, Kaduna (NGR)","30 MAR 2023","1092","2023"
"3332","10.34","+0.5","Chenshuai DAI","16 OCT 2000","CHN","1","Sichuan Xipu Training Base, Chengdu (CHN)","07 APR 2023","1092","2023"
"3332","10.34","+0.2","Albert KOMAŃSKI","07 FEB 2000","POL","1","Stadion Babia Góra, Sucha Beskidzka (POL)","20 MAY 2023","1092","2023"
"3332","10.34","+1.7","James WILLIAMSON","13 JAN 2003","USA","2h5","Wildcat Track, Marion, IN (USA)","25 MAY 2023","1092","2023"
"3332","10.34","+1.4","Andrew MORGAN-HARRISON","09 MAR 1998","GBR","5","Stadio Zecchini, Grosseto (ITA)","27 MAY 2023","1092","2023"
"3332","10.34","+0.4","Andrii VASYLIEV","13 APR 2001","UKR","1h1","Stadion SKIF, Lviv (UKR)","27 MAY 2023","1092","2023"
"3332","10.34","+1.0","Heiko GUSSMANN","11 MAR 2004","GER","1","Universitätsstadion Am Biopark, Regensburg (GER)","03 JUN 2023","1092","2023"
"3332","10.34","+1.8","Jordan PAQUOT","29 DEC 1998","BEL","1f1","Stade Rebompré, Ciney (BEL)","17 JUN 2023","1092","2023"
"3332","10.34","+1.3","Dzianis BLIZNETS","12 MAR 1995","BLR","1","Stadium Desna, Bryansk (RUS)","08 JUL 2023","1092","2023"
"3332","10.34","+1.2","Dmitriy TIMKOV","16 JUN 1995","RUS","2","Meteor, Zhukovskiy (RUS)","14 JUL 2023","1092","2023"
"3332","10.34","+1.5","Ward MERCKX","14 APR 1997","BEL","2f1","Sport Vlaanderen Brugge Julien Saelens, Brugge (BEL)","29 JUL 2023","1092","2023"
"3332","10.34","+0.9","Kanau MATSUSHITA","21 APR 2002","JPN","6sf1","Prefectural Stadium, Kagoshima (JPN)","13 OCT 2023","1092","2023"
"3332","10.34","+1.6","Yudai NISHI","02 JUL 2000","JPN","4sf2","Prefectural Stadium, Kagoshima (JPN)","13 OCT 2023","1092","2023"
"3332","10.34","+1.8","Gary AFRAM","","USA","1f2","UMiami Cobb Stadium, Coral Gables, FL (USA)","16 MAR 2024","1092","2024"
"3332","10.34","-0.1","Sarfo ANSAH","30 JUL 1998","GHA","4h1","University of Ghana Sports Stadium, Accra (GHA)","18 MAR 2024","1092","2024"
"3332","10.34","+1.0","Lucas ANDRADA","","USA","2f1","Potts Field, Boulder, CO (USA)","05 APR 2024","1092","2024"
"3332","10.34","+0.3","Duhao YU","17 DEC 2001","CHN","1h6","Sports Center, Bengbu (CHN)","09 MAY 2024","1092","2024"
"3332","10.34","+1.2","Ian DOSSMAN","","USA","5","Miller& Capriotti Athletics Complex, San Luis Obispo, CA (USA)","10 MAY 2024","1092","2024"
"3332","10.34","+1.2","Dominick YANCY","2001","USA","5","UL Monroe Brown Stadium, Monroe, LA (USA)","11 MAY 2024","1092","2024"
"3332","10.34","+1.3","Simon EHAMMER","07 FEB 2000","SUI","3ce4","Mösle-Stadium, Götzis (AUT)","18 MAY 2024","1092","2024"
"3332","10.34","+0.7","Łukasz ŻAK","31 MAY 1997","POL","1f2","Stadion Śląski, Chorzów (POL)","18 MAY 2024","1092","2024"
"3332","10.34","+0.8","Kento MATSUI","09 SEP 2002","JPN","1sf1","Takebishi Stadium, Kyoto (JPN)","23 MAY 2024","1092","2024"
"3332","10.34","+0.6","Udeme OKON","03 SEP 2005","RSA","2h2","McArthur Stadium, Potchefstroom (RSA)","25 MAY 2024","1092","2024"
"3332","10.34","+1.3","Jayden FINLEY","","USA","2h1","Hayward Field, Eugene, OR (USA)","12 JUN 2024","1092","2024"
"3560","10.35","","Manickavasagam JEGATHESAN","02 NOV 1943","MAS","3h6","Estadio Olímpico, Ciudad de México (MEX)","13 OCT 1968","1089","1968"
"3560","10.35","+2.0","Barrie KELLY","02 AUG 1940","GBR","5qf4","Estadio Olímpico, Ciudad de México (MEX)","13 OCT 1968","1089","1968"
"3560","10.35","+1.8","Jaroslav MATOUŠEK","07 APR 1951","TCH","2qf1","Olympiastadion, München (GER)","31 AUG 1972","1089","1972"
"3560","10.35","","Edward SINANI","25 MAR 1947","RSA","1","Libanon (RSA)","13 MAR 1976","1089","1976"
"3560","10.35","","Charlie WELLS","10 AUG 1953","USA","3","Lausanne (SUI)","13 JUL 1978","1089","1978"
"3560","10.35","","Rickey MOXEY","03 NOV 1959","BAH","2h4","Medellín (COL)","15 JUL 1978","1089","1978"
"3560","10.35","","Doug HINDS","15 APR 1958","CAN","1","Baton Rouge, LA (USA)","20 APR 1979","1089","1979"
"3560","10.35","+1.4","Willie TURNER","16 JAN 1959","USA","6","Champaign, IL (USA)","01 JUN 1979","1089","1979"
"3560","10.35","+1.2","Philippe LE JONCOUR","12 NOV 1956","FRA","1","Orléans (FRA)","11 AUG 1979","1089","1979"
"3560","10.35","+0.5","Lambros KEFALAS","10 AUG 1953","CYP","2","Sofia (BUL)","13 JUN 1980","1089","1980"
"3560","10.35","","Steve PARKER","19 MAY 1959","USA","1h3","Brownwood, TX (USA)","27 APR 1981","1089","1981"
"3560","10.35","","Ricky CAMPBELL","29 APR 1959","USA","2","Auburn, AL (USA)","01 MAY 1982","1089","1982"
"3560","10.35","+1.9","Ollie ANDERSON","02 JAN 1963","USA","1","San Angelo, TX (USA)","21 MAY 1982","1089","1982"
"3560","10.35","+0.4","Zdeněk MAZUR","12 AUG 1954","TCH","1","Praha (TCH)","10 JUL 1982","1089","1982"
"3560","10.35","-1.6","Chris BRAITHWAITE","12 AUG 1948","TTO","2sf1","La Habana (CUB)","08 AUG 1982","1098","1982"
"3560","10.35","","Hugh STAFFORD","13 FEB 1960","USA","1","Monroe, LA (USA)","15 MAR 1983","1089","1983"
"3560","10.35","+0.4","Elliott QUOW","03 MAR 1962","USA","2","Westwood, CA (USA)","15 MAY 1983","1089","1983"
"3560","10.35","+0.9","Gennadiy MURASHOV","20 APR 1960","URS","2sf3","Moskva (URS)","19 JUN 1983","1089","1983"
"3560","10.35","+2.0","Andreas RIZZI","06 MAY 1959","FRG","3sf1","Bremen (GER)","24 JUN 1983","1089","1983"
"3560","10.35","","Mark PICKENS","12 FEB 1966","USA","1","Lincoln, NE (USA)","03 JUL 1983","1089","1983"
"3560","10.35","+1.4","Jeff GOLD","02 APR 1962","USA","5","Air Force Academy (USA)","03 JUL 1983","1089","1983"
"3560","10.35","+1.7","Kipper BELL","19 MAY 1961","USA","1f2","Walnut, CA (USA)","28 APR 1984","1089","1984"
"3560","10.35","","Steve BRIDGES","17 MAR 1960","USA","5","Athens, GA (USA)","05 MAY 1984","1089","1984"
"3560","10.35","+1.5","Jaime JEFFERSON","17 JAN 1962","CUB","1sf","La Habana (CUB)","08 MAR 1985","1089","1985"
"3560","10.35","+0.9","Terry MCDANIEL","08 FEB 1965","USA","3","Knoxville, TN (USA)","13 APR 1985","1089","1985"
"3560","10.35","0.0","Sergey SHUTOV","21 DEC 1962","URS","5","Leningrad (URS)","25 JUL 1985","1089","1985"
"3560","10.35","","Igor IVANEYEV","13 MAY 1958","URS","1h","Leningrad (URS)","25 JUL 1985","1089","1985"
"3560","10.35","+1.7","Werner ZASKE","28 FEB 1961","FRG","2sf2","Stuttgart (GER)","02 AUG 1985","1089","1985"
"3560","10.35","+1.9","Vladimir SHERSHEN","08 NOV 1961","URS","1h","Leningrad (URS)","19 AUG 1985","1089","1985"
"3560","10.35","+1.6","Endre HAVAS","05 APR 1966","HUN","1sf2","Max-Reimann-Stadion, Cottbus (GDR)","22 AUG 1985","1089","1985"
"3560","10.35","+1.9","Heiko TRUPPEL","03 JUL 1964","GDR","3","Berlin (GDR)","22 SEP 1985","1089","1985"
"3560","10.35","+0.8","Jae-keun JANG","01 FEB 1962","KOR","3","Jakarta (INA)","26 SEP 1985","1089","1985"
"3560","10.35","","Greg MEGHOO","11 AUG 1965","JAM","2","Kingston (JAM)","20 JUN 1986","1089","1986"
"3560","10.35","+0.6","Richard JONES","11 DEC 1962","CAN","1","Fresno, CA (USA)","23 MAR 1987","1089","1987"
"3560","10.35","","Eric THOMAS","11 SEP 1964","USA","1","Lafayette, LA (USA)","11 APR 1987","1089","1987"
"3560","10.35","+1.6","William TROTT","20 MAR 1965","BER","2","Lawrence, KS (USA)","16 MAY 1987","1089","1987"
"3560","10.35","+1.9","Ľuboš CHOCHLÍK","19 JAN 1959","TCH","1","Banská Bystrica (TCH)","06 JUN 1987","1089","1987"
"3560","10.35","+0.4","Matthias SCHLICHT","03 MAY 1967","FRG","1","Berlin (GER)","20 JUN 1987","1089","1987"
"3560","10.35","+1.5","Ivo PIŠTĚK","09 MAY 1963","TCH","2","Drama (GRE)","08 AUG 1987","1089","1987"
"3560","10.35","+1.1","Mike HAYNES","24 DEC 1965","USA","1","Walnut, CA (USA)","23 APR 1988","1089","1988"
"3560","10.35","+1.9","Reggie MCCRAY","07 AUG 1966","USA","1h2","San Angelo, TX (USA)","19 MAY 1988","1089","1988"
"3560","10.35","+1.9","Titus DIXON","15 JUN 1966","USA","2h2","San Angelo, TX (USA)","19 MAY 1988","1089","1988"
"3560","10.35","+0.9","Yuriy MIZERA","26 FEB 1966","URS","1","Yaroslavl (URS)","04 JUN 1988","1089","1988"
"3560","10.35","+1.8","Steffen SCHWABE","03 JUN 1964","GDR","5","Rostock (GER)","22 JUN 1989","1089","1989"
"3560","10.35","+1.0","Takahiro KASAHARA","31 JUL 1967","JPN","1","Ise (JPN)","16 JUL 1989","1089","1989"
"3560","10.35","+0.2","Adrian LAMBERT","01 AUG 1970","RSA","2h1","Pretoria (RSA)","19 APR 1991","1089","1991"
"3560","10.35","+1.2","Shannon BAKER","20 JUL 1970","USA","2","Tallahassee, FL (USA)","18 APR 1992","1089","1992"
"3560","10.35","+1.0","Olivier THÉOPHILE","25 JUL 1968","FRA","4","Fort-de-France (FRA)","25 APR 1992","1089","1992"
"3560","10.35","","Damon WEST","26 MAR 1970","USA","1","Gainesville, FL (USA)","02 MAY 1992","1089","1992"
"3560","10.35","","Derreck ALLEN","07 AUG 1966","USA","3","Austin, TX (USA)","12 JUN 1992","1089","1992"
"3560","10.35","+0.6","Juan Jesús TRAPERO","21 DEC 1969","ESP","1","Vitoria (ESP)","04 JUL 1992","1089","1992"
"3560","10.35","","Keevan MILLS","10 JUL 1972","USA","1h1","Arlington, TX (USA)","01 MAY 1993","1089","1993"
"3560","10.35","+0.2","Marlon THOMAS","05 FEB 1971","USA","5","Knoxville, TN (USA)","16 MAY 1993","1089","1993"
"3560","10.35","+1.4","Brian TAYLOR","13 AUG 1970","GBR","ce","Emmelshausen (GER)","29 MAY 1993","1089","1993"
"3560","10.35","+1.8","Pedro Pablo NOLET","01 JUN 1970","ESP","1","Getafe (ESP)","20 JUL 1993","1089","1993"
"3560","10.35","+1.7","Hideki ONOHARA","16 OCT 1968","JPN","1sf2","Naruto (JPN)","26 OCT 1993","1089","1993"
"3560","10.35","+1.0","Alfredo GARCÍA","05 FEB 1974","CUB","1sf","La Habana (CUB)","26 JUN 1995","1089","1995"
"3560","10.35","+2.0","Thorsten SCHULZ","13 MAY 1976","GER","1","Rhede (GER)","07 JUL 1995","1089","1995"
"3560","10.35","0.0","Bryan KRILL","05 APR 1973","USA","2","Fullerton, CA (USA)","25 APR 1996","1089","1996"
"3560","10.35","+1.2","Igor STRAKH","21 SEP 1973","UKR","2","Kyiv (UKR)","07 JUN 1996","1089","1996"
"3560","10.35","+0.5","Stanley TOWETT","1972","KEN","2","Nairobi (KEN)","27 JUN 1996","1089","1996"
"3560","10.35","+1.5","Ewart SCOTT","16 MAR 1970","JAM","1h2","Raleigh, NC (USA)","14 JUN 1997","1089","1997"
"3560","10.35","0.0","Koji ONO","04 DEC 1973","JPN","sf","Kobe (JPN)","15 JUN 1997","1089","1997"
"3560","10.35","0.0","Uwe EISENBEIS","14 NOV 1975","GER","2","Troisdorf (GER)","19 JUL 1997","1089","1997"
"3560","10.35","-1.2","Hirofumi NAKAGAWA","03 JAN 1980","JPN","sf","Osaka (JPN)","26 OCT 1997","1096","1997"
"3560","10.35","+0.9","Glenn CRAWFORD","10 JAN 1973","AUS","1","Melbourne (AUS)","08 JAN 1998","1089","1998"
"3560","10.35","+1.5","Ruben BENITEZ","16 SEP 1972","ESA","4","Fullerton, CA (USA)","23 APR 1998","1089","1998"
"3560","10.35","+0.6","Mark RICHARDSON","26 JUL 1972","GBR","1","Irvine, CA (USA)","02 MAY 1998","1089","1998"
"3560","10.35","+1.9","Antony BALLAND","19 MAR 1970","FRA","1","Béziers (FRA)","17 MAY 1998","1089","1998"
"3560","10.35","+1.4","Mário BARBOSA","26 JUL 1977","POR","2","Maia (POR)","04 JUL 1998","1089","1998"
"3560","10.35","+1.7","Rodrigue NORDIN","22 MAR 1971","FRA","4","Dijon (FRA)","04 JUL 1998","1089","1998"
"3560","10.35","+1.1","Dennis TILBURG","20 APR 1966","NED","4","Tel Aviv (ISR)","19 JUL 1998","1089","1998"
"3560","10.35","-1.5","Akinola LASHORE","28 MAR 1973","GBR","4","Pretoria (RSA)","10 APR 1999","1098","1999"
"3560","10.35","0.0","Leszek DYJA","30 JUN 1978","POL","h","Wrocław (POL)","11 SEP 1999","1089","1999"
"3560","10.35","0.0","Benedictus BOTHA","21 JUN 1978","NAM","h","Johannesburg (RSA)","14 SEP 1999","1089","1999"
"3560","10.35","-0.5","Baigeh J. TUCKER","12 OCT 1980","USA","1","Tempe, AZ (USA)","18 MAR 2000","1092","2000"
